百佳,九龍城,君逸山,九龍何文田迦密村街9 號君逸山地下,0800 - 2200,2760 1791,22.313789,114.17927,九龍
百佳,九龍城,富榮花園,九龍海庭道 8 號富榮花園第2期地下66B號鋪,0800 - 2230,2907 1120,22.314508,114.165585,九龍
百佳,九龍城,塘尾道長輝大廈,九龍塘尾道22號長輝大廈地下A-C號鋪,0800 - 2100,2393 0662,22.319309,114.16627,九龍
百佳,九龍城,晴朗商場,"九龍, 九龍城, 晴朗商場1樓B101號商鋪",0800 - 2200,2790 3881,22.33066,114.192017,九龍
百佳,九龍城,竹園?,九龍黃大仙竹園道15 號竹園商場2樓S229號鋪,0730 - 2230,2726 2042,22.343992,114.194235,九龍
百佳,九龍城,馬頭涌道福安大廈,九龍土瓜灣馬頭涌道90-98號福安大廈地下,0800 - 2200,2712 0529,22.323973,114.188734,九龍
百佳,九龍城,衍慶街富源樓,九龍新蒲崗衍慶街21-29號富源樓地下,0800 - 2200,2320 1067,22.335398,114.194783,九龍
百佳,九龍城,鳳德?,九龍鳳德?鳳德商場2樓215室,0800 - 2230,2352 5275,,,九龍
百佳,九龍城,塘尾道好世界洋樓,九龍塘尾道197-199號世界洋樓地下5-7號鋪,0900 - 2130,2391 3638,22.336932,114.176337,九龍
百佳,九龍城,家維?,九龍紅磡馬頭圍道家維?家義樓低層地下1-2號鋪及家廉樓低層地下 1-6 號鋪,0800 - 2200,2994 5368,,,九龍
百佳,九龍城,樂富廣場,九龍橫頭磡樂富廣場1樓1214-1218 號鋪,0800 - 2230,2339 1733,,,九龍
百佳,九龍城,樂民新村,九龍土瓜灣樂民新村146及148鋪地下,0800 - 2200,2714 3351,22.317337,114.187969,九龍
百佳,九龍城,太子道民生商業大廈,九龍九龍城太子道西348-352號民生商業大廈地下,星期一至五及公眾假期：0730 - 2200,2718 4074,22.327553,114.187155,九龍
百佳,九龍城,白田?,九龍石硤尾白雲街白田?白田商場地下22號鋪,0900 - 2100,2776 9664,22.336831,114.167084,九龍
百佳,九龍城,坪石?,九龍牛池灣坪石?鑽石樓2樓201號鋪,0730 - 2230,2326 7225,,,九龍
百佳,九龍城,采頤花園,九龍彩虹道242號采頤花園地下880-892號商鋪,0800 - 2200,2327 7638,22.337252,114.202793,九龍
百佳,九龍城,石硤尾?,九龍石硤尾石硤尾?第二期服務設施大樓SQ05號鋪,0800 - 2300,2915 6911,22.33287,114.165699,九龍
